Video_AD_Ratio,Video_AD_Spend_Ratio,Optimal_Video_AD_Ratio,Optimal_AD_Volume_Ratio,Ad_Creation_Volume,Ad_Creative_Fatigue,Video_Ad_Creative_Fatigue,Top_Ad_Performance,Top_Video_Ad_Performance
0.05,0.02,0.3,0.09,100,5.7333,2.8667,0.16,0.1018
0.12,0.02,0.12,0.08,100,0,0,0.0403,0.0719
0.04,0.02,0.07,0.04,100,2.8667,2.8667,0.1651,0.1589
0.02,0.02,0.1,0.09,100,2.8667,2.8667,0.1656,0.1575
0.03,0.02,0.1,0.05,100,0,2.8667,0.1712,0.1606
0.1,0.02,0.07,0.02,100,0,0,0.0621,0.1268
0.03,0.02,0.09,0.05,100,14.3333,8.6,0.1668,0.1546
0.06,0.02,0.06,0.03,100,0,0,0.16,0.0095
0.06,0.02,0.06,0.03,100,2.5333,0,0.16,0.0047
0.07,0.01,0.02,0.03,100,0,0,0.0691,0.1203
0.04,0.01,0.3,0.1,100,0,0,0.1636,0.1571
0.04,0.01,0.32,0.11,100,0,0,0.1652,0.1585
0.02,0.01,0.16,0.08,100,0,8.3333,0.16,0.0904
0.12,0.01,0.1,0.04,100,0,0,0.1595,0.1268
0.11,0.01,0.07,0.03,100,0,0,0.0391,0.1268
0.07,0.01,0.18,0.06,100,0,0,0.0412,0.13
0.04,0.01,0.05,0.03,100,0,0,0.0141,0.07
0.08,0.01,0.24,0.08,100,0,0,0.0261,0.13
0,0.01,0.06,0.04,100,2.5403,0.6003,0.1134,0.1141
0.17,0.01,0.06,0.03,100,6.7703,0.2857,0.0639,0.1245
0.14,0.01,0.13,0.04,100,2.5278,1.1572,0.3225,0.1191
0.01,0.01,0.22,0.01,100,5.8229,1.2698,0.0947,0.1049
0.03,0,0.14,0.07,100,0,0,0.16,0.1083
0.42,0.01,0.09,0.04,99,2.8916,1.265,0.1033,0.1651
0.03,0,0.16,0.09,100,0,0,0.16,0.1268
0.05,0,0.18,0.03,100,0,0,0.0555,0.1268
0,0,0,0.09,100,0,0,0.1644,0.1268
0,0,0,0.01,100,0,0,0.16,0.1268
0,0,0,0.04,92,2.8667,0,0.0586,0.1268
0,0,0,0.03,100,0,0,0.59,0.1268
0.17,0,0.03,0.01,100,0,2.8667,0.096,0.0463
0,0,0,0.01,100,0,0,0.0287,0.1268
0,0,0,0.04,100,5.7333,0,0.1595,0.1268
0.02,0,0.02,0.02,100,0,0,0.0389,0.13
0.13,0.46,0.19,0.05,100,4.6774,0.9962,0.0409,0.0407
0.09,0,0.18,0.05,100,0,0,0.0228,0.13
0.22,0,0.08,0.05,99,2.5272,1.8799,0.2292,0.1079
